Product,Size,Lead Time Sales,Safety Stock,Stock On Hand,Order Quantity
WHHS Jnr Short Skirt,107,0.0,0.11782309459353627,17,0
WHHS Jnr Short Skirt,112,0.0,0.15244131547684442,14,0
WHHS Jnr Short Skirt,117,0.002385137759952088,0.14991425445641396,9,0
WHHS Jnr Short Skirt,122,0.002385137759952088,0.1451687227730391,3,0
WHHS Jnr Short Skirt,57,0.04022764265366628,0.8028711428566523,16,0
WHHS Jnr Short Skirt,62,0.0,1.9947357790639906,11,0
WHHS Jnr Short Skirt,67,2.1032790433906414,3.8673678315164666,24,0
WHHS Jnr Short Skirt,72,3.0492858667389164,3.180984105095842,15,0
WHHS Jnr Short Skirt,77,2.4243292733701027,1.7922184108273198,15,0
WHHS Jnr Short Skirt,82,0.6742798099200377,1.2628779741348102,7,0
WHHS Jnr Short Skirt,87,0.0,0.3319352636949687,17,0
