Category,Product,Code,Size,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25
Mt Albert Grammar,Mags Uniform Jumper Navy/Sky (MG009),USL MG009 SKY STRIPES -7XL,7XL/137,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,2,3,,1,,,,1,,,1,,2,1
Mt Albert Grammar,Mags Uniform Jumper Navy/Sky (MG009),USL MG009 SKY STRIPES -L,L/102,,,,,,,,,,,,,,,,,,,,,,,,1,53,22,13,,5,10,19,8,3,9,34,17,68,3,21,12,14
Mt Albert Grammar,Mags Uniform Jumper Navy/Sky (MG009),USL MG009 SKY STRIPES -M,M/97,,,,,,,,,,,,,,,,,,,,,,,,39,90,22,31,5,14,20,14,12,6,11,43,14,109,22,23,18,18
Mt Albert Grammar,Mags Uniform Jumper Navy/Sky (MG009),USL MG009 SKY STRIPES -S,S/92,,,,,,,,,,,,,,,,,,,,,,,,3,77,14,21,8,2,,4,3,4,6,28,13,46,11,10,6,9
Mt Albert Grammar,Mags Uniform Jumper Navy/Sky (MG009),USL MG009 SKY STRIPES -XL,XL/107,,,,,,,,,,,,,,,,,,,,,,,,14,53,16,18,2,10,18,15,15,10,5,17,11,53,13,13,11,18
Mt Albert Grammar,Mags Uniform Jumper Navy/Sky (MG009),USL MG009 SKY STRIPES -XS,XS/87,,,,,,,,,,,,,,,,,,,,,,,,12,11,5,2,1,4,4,5,,,4,9,5,10,1,1,-1,7
Mt Albert Grammar,Mags Uniform Jumper Navy/Sky (MG009),USL MG009 SKY STRIPES -XXS,XXS/82,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,1,,,,1,,,,,,
Mt Albert Grammar,Mags Uniform LS Shirt White (MG017),MG017 -16,16,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,1,,1,,,,
Mt Albert Grammar,Mags Uniform LS Shirt White (MG017),MG017 -37,37,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,
Mt Albert Grammar,Mags Uniform LS Shirt White (MG017),MG017 -38,38,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,1,,1,,,,,,2,,2,,,,1
